tweet_id,name,dog_stage,breed,rating
805207613751304193,Shooter,,pembroke,1.2
804738756058218496,Django,,tibetan_mastiff,1.2
804026241225523202,Bo,,,1.3
803773340896923648,Diogi,puppo,miniature_pinscher,1.2
803638050916102144,,pupper,labrador_retriever,1.3
803380650405482500,Sonny,,,1.2
803276597545603072,Winston,,pembroke,1.1
802952499103731712,Marley,,chow,1.2
802572683846291456,Winnie,,golden_retriever,1.2
802323869084381190,Severus,,,1.3
802265048156610565,,,labrador_retriever,1.1
802239329049477120,Loki,puppo,eskimo_dog,1.2
801958328846974976,Ronnie,,staffordshire_bullterrier,1.2
801538201127157760,Wallace,,pembroke,1.2
801285448605831168,,,,1.0
801167903437357056,Milo,,cocker_spaniel,1.3
801115127852503040,Bones,doggo,dalmatian,1.2
800751577355128832,Mauve,,cocker_spaniel,1.2
800513324630806528,Chef,,pembroke,1.1
800459316964663297,,pupper,,1.2
800388270626521089,Doc,floofer,golden_retriever,1.2
800141422401830912,Peaches,,golden_retriever,1.3
800018252395122689,,doggo,,1.1
799757965289017345,Sobe,doggo,border_collie,1.3
799422933579902976,Longfellow,,miniature_pinscher,1.2
799297110730567681,Jeffrey,,malamute,1.1
799063482566066176,Mister,,norfolk_terrier,1.1
798933969379225600,Iroh,,siberian_husky,1.2
798925684722855936,Shadow,,west_highland_white_terrier,1.1
798209839306514432,Cooper,,pekinese,1.3
797971864723324932,,pupper,american_staffordshire_terrier,1.2
797545162159308800,Cassie,,pembroke,1.2
797236660651966464,Pancake,,collie,1.2
796865951799083009,Tyr,,cardigan,1.2
796759840936919040,Romeo,,american_staffordshire_terrier,1.1
796484825502875648,,doggo,cocker_spaniel,1.2
796387464403357696,Snicku,,pekinese,1.2
796149749086875649,Ruby,,golden_retriever,1.1
796116448414461957,,,cardigan,1.1
796080075804475393,Yogi,,chow,1.2
796031486298386433,Daisy,,golden_retriever,1.3
795464331001561088,,doggo,golden_retriever,1.3
795400264262053889,Brody,,golden_retriever,1.2
795076730285391872,Bailey,,,1.1
794926597468000259,Mack,,toy_poodle,1.2
794332329137291264,Nimbus,,samoyed,1.2
794205286408003585,Laika,pupper,,1.4
793962221541933056,Maximus,,labrador_retriever,1.2
793845145112371200,Clark,,old_english_sheepdog,1.3
793601777308463104,Dobby,,miniature_pinscher,1.2
793500921481273345,Fiona,,golden_retriever,1.2
793286476301799424,Moreton,,afghan_hound,1.3
793271401113350145,Dave,,siberian_husky,1.2
793256262322548741,,,basset,1.2
793241302385262592,Tucker,,golden_retriever,1.3
793226087023144960,Juno,,wire-haired_fox_terrier,1.1
793210959003287553,Maude,,french_bulldog,1.0
793195938047070209,Lily,puppo,labrador_retriever,1.2
793180763617361921,Newt,,lakeland_terrier,1.1
793165685325201412,Benji,,golden_retriever,1.2
793150605191548928,Nida,,italian_greyhound,1.1
793135492858580992,,,,1.3
793120401413079041,Robin,,labrador_retriever,1.1
792913359805018113,,,,1.3
792883833364439040,Bailey,,standard_poodle,1.2
792773781206999040,Monster,,yorkshire_terrier,1.2
792394556390137856,BeBe,,cocker_spaniel,1.2
792050063153438720,Remus,,komondor,1.1
791672322847637504,,,golden_retriever,1.3
791406955684368384,Levi,,pembroke,1.2
791312159183634433,Mabel,,miniature_pinscher,1.2
790987426131050500,Misty,,cocker_spaniel,1.2
790946055508652032,Betty,puppo,golden_retriever,1.2
790698755171364864,Mosby,,bernese_mountain_dog,1.2
790581949425475584,Duke,,malinois,1.1
790337589677002753,Maggie,,pembroke,1.2
790277117346975746,Bruce,,labrador_retriever,1.1
789986466051088384,Happy,,golden_retriever,1.2
789628658055020548,Eli,,chow,1.3
789599242079838210,Brownie,,chesapeake_bay_retriever,1.2
789530877013393408,Rizzy,,schipperke,1.2
789268448748703744,Stella,,malamute,1.0
789137962068021249,Bo,,chihuahua,1.2
788908386943430656,Lucy,,golden_retriever,1.1
788765914992902144,Butter,,cocker_spaniel,1.2
788412144018661376,Dexter,,golden_retriever,1.1
788178268662984705,,,samoyed,1.3
788150585577050112,Leo,,chow,1.3
788039637453406209,,,,1.2
787810552592695296,Frank,,pug,1.1
787717603741622272,Tonks,puppo,german_shepherd,1.3
787397959788929025,Moose,,chihuahua,1.1
